rows,oid,ogroup_id,oplan_title,oprice,oabsence,osertification,omark,omin,omax,otime,obranch,group,grade,course,price,title
27,52,27,اخلاق,150000,2,yes,14,25,70,NULL,2,معارف قرآن و حدیث,جوان,اخلاق و تربیت اسلامی,15000,اخلاق
184,212,17,اخلاق در قرآن,200000,4,yes,15,15,75,NULL,9,معارف قرآن و حدیث,جوان,اخلاق و تربیت اسلامی,20000,اخلاق در قرآن
293,321,17,اخلاق در قرآن,200000,4,yes,14,10,25,NULL,9,معارف قرآن و حدیث,جوان,اخلاق و تربیت اسلامی,20000,اخلاق در قرآن
285,313,10,اخلاق در نهج البلاغه,200000,2,yes,14,10,50,NULL,9,معارف قرآن و حدیث,جوان,اخلاق و تربیت اسلامی,20000,اخلاق در نهج البلاغه
282,310,17,اخلاق محمدی,200000,4,yes,14,10,35,NULL,9,معارف قرآن و حدیث,جوان,اخلاق و تربیت اسلامی,20000,اخلاق محمدی
303,331,17,اخلاق محمدی,200000,3,yes,14,0,50,14,9,معارف قرآن و حدیث,جوان,اخلاق و تربیت اسلامی,20000,اخلاق محمدی
304,332,17,اخلاق محمدی,150000,4,yes,14,10,50,NULL,9,معارف قرآن و حدیث,جوان,اخلاق و تربیت اسلامی,15000,اخلاق محمدی
219,247,30,اخلاق معلمی,0,0,no,15,10,30,NULL,2,معارف قرآن و حدیث,جوان,اخلاق و تربیت اسلامی,0,اخلاق معلمی
353,381,13,آموزش تفکر و معنویت برای کودکان,200000,3,yes,14,10,50,12,9,معارف قرآن و حدیث,جوان,اخلاق و تربیت اسلامی,20000,آموزش تفکر و معنویت برای کودکان
180,208,10,تربیت جنسی کودک,200000,4,yes,14,15,100,NULL,9,معارف قرآن و حدیث,جوان,اخلاق و تربیت اسلامی,20000,تربیت جنسی کودک
223,251,30,تربیت دینی,0,0,no,15,10,30,NULL,2,معارف قرآن و حدیث,جوان,اخلاق و تربیت اسلامی,0,تربیت دینی
274,302,10,تربیت فرزند,200000,4,yes,14,15,70,12,9,معارف قرآن و حدیث,جوان,اخلاق و تربیت اسلامی,20000,تربیت فرزند
318,346,6,تربیت فرزند,0,1,yes,14,10,1000,40,3,معارف قرآن و حدیث,جوان,اخلاق و تربیت اسلامی,0,تربیت فرزند
292,320,10,تربیت فرزند دو,200000,4,yes,14,10,100,14,9,معارف قرآن و حدیث,جوان,اخلاق و تربیت اسلامی,20000,تربیت فرزند دو
295,323,10,تربیت فرزند مقطع نوجوان,200000,3,yes,0,10,70,12,9,معارف قرآن و حدیث,جوان,اخلاق و تربیت اسلامی,20000,تربیت فرزند مقطع نوجوان
359,387,5,تربیت فرزند ویژه اولیا,200000,2,no,12,20,50,15,1,معارف قرآن و حدیث,جوان,اخلاق و تربیت اسلامی,20000,تربیت فرزند ویژه اولیا
196,224,22,خود شناسی اخلاقی،تربیت اخلاقی،,100000,2,yes,14,20,50,NULL,10,معارف قرآن و حدیث,جوان,اخلاق و تربیت اسلامی,10000,خود شناسی اخلاقی،تربیت اخلاقی،
185,213,10,دخترانه ها,200000,4,yes,15,15,50,NULL,9,معارف قرآن و حدیث,نوجوان,اخلاق و تربیت اسلامی,20000,دخترانه ها
263,291,5,در محضر بانو,800000,10,no,16,10,999,NULL,1,معارف قرآن و حدیث,نوجوان,اخلاق و تربیت اسلامی,80000,در محضر بانو
269,297,13,راه وراهنما شناسی,200000,4,yes,16,10,40,NULL,9,معارف قرآن و حدیث,جوان,اخلاق و تربیت اسلامی,20000,راه وراهنما شناسی
178,206,16,سواد رسانه ای والدین,200000,4,yes,14,15,100,NULL,9,معارف قرآن و حدیث,جوان,اخلاق و تربیت اسلامی,20000,سواد رسانه ای والدین
280,308,10,سیاستهای مادرانه,200000,4,yes,14,15,100,NULL,9,معارف قرآن و حدیث,جوان,اخلاق و تربیت اسلامی,20000,سیاستهای مادرانه
70,95,27,فرزندپروری,200000,2,yes,14,25,70,NULL,2,معارف قرآن و حدیث,جوان,اخلاق و تربیت اسلامی,20000,فرزندپروری
357,385,32,محضر بانو,350000,10,no,12,8,20,40,7,معارف قرآن و حدیث,نوجوان,اخلاق و تربیت اسلامی,35000,محضر بانو
358,386,32,محضر بانو,350000,15,no,12,8,25,40,7,معارف قرآن و حدیث,نوجوان,اخلاق و تربیت اسلامی,35000,محضر بانو
131,156,2,اذان و مکبری,150000,2,yes,16,15,20,15,1,علوم و فنون قرائت,نوجوان,اذان,15000,اذان و مکبری
277,305,13,انسان شناسی,250000,4,yes,14,10,50,NULL,9,معارف قرآن و حدیث,جوان,اعتقادات,25000,انسان شناسی
265,293,10,آرامش در زندگی من,150000,4,yes,16,15,50,NULL,9,معارف قرآن و حدیث,جوان,اعتقادات,15000,آرامش در زندگی من
271,299,26,بانوان آسمانی,150000,4,yes,14,15,50,NULL,9,معارف قرآن و حدیث,جوان,اعتقادات,15000,بانوان آسمانی
278,306,9,بایسته های شریعت,200000,4,yes,14,10,30,NULL,9,معارف قرآن و حدیث,جوان,اعتقادات,20000,بایسته های شریعت
283,311,10,پاسخ به پرسشهای کودکان,200000,4,yes,14,10,100,14,9,معارف قرآن و حدیث,جوان,اعتقادات,20000,پاسخ به پرسشهای کودکان
302,330,13,تولد معنوی,200000,4,yes,14,10,50,NULL,9,معارف قرآن و حدیث,جوان,اعتقادات,20000,تولد معنوی
66,91,27,جریان شناسی تکفیری,150000,3,yes,16,25,60,NULL,2,معارف قرآن و حدیث,جوان,اعتقادات,15000,جریان شناسی تکفیری
190,218,13,جریانشناسی عرفانهای نوظهور,200000,4,yes,15,15,75,NULL,9,معارف قرآن و حدیث,جوان,اعتقادات,20000,جریانشناسی عرفانهای نوظهور
270,298,13,جریانهای افراطی شیعی,200000,4,yes,16,10,50,NULL,9,معارف قرآن و حدیث,جوان,اعتقادات,20000,جریانهای افراطی شیعی
294,322,10,چشمه تفکر,200000,2,yes,16,10,50,NULL,9,معارف قرآن و حدیث,جوان,اعتقادات,20000,چشمه تفکر
399,427,10,چشمه معرفت چهار,150000,3,yes,14,1,30,12,9,معارف قرآن و حدیث,جوان,اعتقادات,15000,چشمه معرفت چهار
369,397,10,چشمه معرفت دو,100000,9,yes,14,10,40,48,9,معارف قرآن و حدیث,جوان,اعتقادات,10000,چشمه معرفت دو
370,398,10,چشمه معرفت سه,100000,9,yes,14,10,40,48,9,معارف قرآن و حدیث,جوان,اعتقادات,10000,چشمه معرفت سه
368,396,10,چشمه معرفت یک,100000,9,yes,14,10,40,48,9,معارف قرآن و حدیث,جوان,اعتقادات,10000,چشمه معرفت یک
279,307,13,چگونه کودکم را نمازخوان کنم,200000,4,yes,14,10,50,NULL,9,معارف قرآن و حدیث,جوان,اعتقادات,20000,چگونه کودکم را نمازخوان کنم
284,312,13,چگونه کودکم زانمازخوان کنم,200000,4,yes,14,15,50,NULL,9,معارف قرآن و حدیث,جوان,اعتقادات,20000,چگونه کودکم را نمازخوان کنم
37,62,27,حرفهای شنیدنی,150000,2,yes,14,20,40,NULL,2,معارف قرآن و حدیث,جوان,اعتقادات,15000,حرفهای شنیدنی
264,292,10,حرفهای شنیدنی,200000,4,yes,14,10,50,NULL,9,معارف قرآن و حدیث,جوان,اعتقادات,20000,حرفهای شنیدنی
305,333,10,دوره کوتاه مدت دختر آسمانی,0,1,yes,14,15,150,4,9,معارف قرآن و حدیث,نوجوان,اعتقادات,0,دوره کوتاه مدت دختر آسمانی
298,326,15,رسم عاشقی,200000,3,yes,14,10,50,12,9,معارف قرآن و حدیث,جوان,اعتقادات,20000,رسم عاشقی
200,228,24,روحانیت شیعه,100000,3,yes,14,20,50,NULL,10,معارف قرآن و حدیث,جوان,اعتقادات,10000,روحانیت شیعه
183,211,13,سوالات من از خدا,200000,4,yes,14,15,75,NULL,9,معارف قرآن و حدیث,جوان,اعتقادات,20000,سوالات من از خدا
286,314,8,شیطان شناسی در قرآن,200000,3,yes,14,10,50,12,9,معارف قرآن و حدیث,جوان,اعتقادات,20000,شیطان شناسی در قرآن
197,225,24,شیعه شناسی,100000,5,yes,14,20,50,NULL,10,معارف قرآن و حدیث,جوان,اعتقادات,10000,شیعه شناسی
296,324,12,فضای مجازی,200000,4,yes,14,10,40,NULL,9,معارف قرآن و حدیث,جوان,اعتقادات,20000,فضای مجازی
281,309,12,فضای مجازی بزرگسال,200000,4,yes,14,10,50,NULL,9,معارف قرآن و حدیث,جوان,اعتقادات,20000,فضای مجازی بزرگسال
297,325,12,فضای مجازی نوجوانان,200000,4,yes,14,10,30,NULL,9,معارف قرآن و حدیث,نوجوان,اعتقادات,20000,فضای مجازی نوجوانان
38,63,27,قصه های قرآنی,150000,2,yes,14,20,40,NULL,2,معارف قرآن و حدیث,نوجوان,اعتقادات,15000,قصه های قرآنی
59,84,27,مامان خدا چه شکلیه,150000,2,yes,16,20,40,NULL,2,معارف قرآن و حدیث,نوجوان,اعتقادات,15000,مامان خدا چه شکلیه
299,327,16,مطالعات انیمیشن,200000,3,yes,14,10,50,12,9,معارف قرآن و حدیث,جوان,اعتقادات,20000,مطالعات انیمیشن
35,60,27,مهارت خودآگاهی,150000,2,yes,14,10,20,NULL,2,معارف قرآن و حدیث,جوان,اعتقادات,15000,مهارت خود آگاهی
69,94,29,آیات,350000,2,yes,16,12,16,NULL,1,حفظ قرآن و حدیث,جوان,آیات,35000,آیات
69,94,29,آیات,350000,2,yes,16,12,16,NULL,2,حفظ قرآن و حدیث,نوجوان,آیات,35000,آیات
125,150,3,آیات جزء بیست و شش الی سی,250000,3,yes,16,6,12,NULL,0,حفظ قرآن و حدیث,جوان,آیات,25000,آیات جزء بیست و شش الی سی
125,150,3,آیات جزء بیست و شش الی سی,250000,3,yes,16,6,12,NULL,1,حفظ قرآن و حدیث,نوجوان,آیات,25000,آیات جزء بیست و شش الی سی
124,149,3,آیات جزء بیست و یک الی بیست و پنج,250000,3,yes,16,10,8,NULL,0,حفظ قرآن و حدیث,جوان,آیات,25000,آیات جزء بیست و یک الی بیست و پنج
124,149,3,آیات جزء بیست و یک الی بیست و پنج,250000,3,yes,16,10,8,NULL,1,حفظ قرآن و حدیث,نوجوان,آیات,25000,آیات جزء بیست و یک الی بیست و پنج
81.9883449883,106.175990676,-12.3333333333,آیات جزء شانزده الی بیست,350000,2.8776223776,yes,16.4673659674,0.2389277389,-0.0116550117,NULL,0.4102564103,حفظ قرآن و حدیث,نوجوان,آیات,35000,آیات جزء شانزده الی بیست
84.5128205128,108.7564102564,-11.3333333333,آیات جزء شش الی ده,350000,2.8846153846,yes,16.4358974359,0.4871794872,0.5128205128,NULL,0.4487179487,حفظ قرآن و حدیث,نوجوان,آیات,35000,آیات جزء شش الی ده
87.0372960373,111.3368298368,-10.3333333333,آیات جزء یازده الی پانزده,350000,2.8916083916,yes,16.4044289044,0.7354312354,1.0372960373,NULL,0.4871794872,حفظ قرآن و حدیث,نوجوان,آیات,35000,آیات جزء یازده الی پانزده
89.5617715618,113.9172494172,-9.3333333333,آیات جزء یک الی پنج,350000,2.8986013986,yes,16.372960373,0.9836829837,1.5617715618,NULL,0.5256410256,حفظ قرآن و حدیث,نوجوان,آیات,35000,آیات جزء یک الی پنج
92.0862470862,116.4976689977,-8.3333333333,بینات جزء بیست و شش الی سی,350000,2.9055944056,yes,16.3414918415,1.2319347319,2.0862470862,NULL,0.5641025641,حفظ قرآن و حدیث,نوجوان,بینات,35000,بینات جزء بیست و شش الی سی
94.6107226107,119.0780885781,-7.3333333333,بینات جزء بیست و یک الی بیست و پنج,350000,2.9125874126,yes,16.31002331,1.4801864802,2.6107226107,NULL,0.6025641026,حفظ قرآن و حدیث,نوجوان,بینات,35000,بینات جزء بیست و یک الی بیست و پنج
97.1351981352,121.6585081585,-6.3333333333,بینات جزء شانزده الی بیست,350000,2.9195804196,yes,16.2785547786,1.7284382284,3.1351981352,NULL,0.641025641,حفظ قرآن و حدیث,نوجوان,بینات,35000,بینات جزء شانزده الی بیست
99.6596736597,124.2389277389,-5.3333333333,بینات جزء شش الی ده,350000,2.9265734266,yes,16.2470862471,1.9766899767,3.6596736597,NULL,0.6794871795,حفظ قرآن و حدیث,نوجوان,بینات,35000,بینات جزء شش الی ده
102.1841491841,126.8193473193,-4.3333333333,بینات جزء یازده الی پانزده,350000,2.9335664336,yes,16.2156177156,2.2249417249,4.1841491841,NULL,0.7179487179,حفظ قرآن و حدیث,نوجوان,بینات,35000,بینات جزء یازده الی پانزده
104.7086247086,129.3997668998,-3.3333333333,بینات جزء یک الی پنج,350000,2.9405594406,yes,16.1841491841,2.4731934732,4.7086247086,NULL,0.7564102564,حفظ قرآن و حدیث,نوجوان,بینات,35000,بینات جزء یک الی پنج
107.2331002331,131.9801864802,-2.3333333333,بینات حفاظ کل,350000,2.9475524476,no,16.1526806527,2.7214452214,5.2331002331,35,0.7948717949,حفظ قرآن و حدیث,نوجوان,بینات,35000,بینات حفاظ کل
109.7575757576,134.5606060606,-1.3333333333,بینات حلقه حافظان کل,350000,2.9545454545,yes,16.1212121212,2.9696969697,5.7575757576,NULL,0.8333333333,حفظ قرآن و حدیث,نوجوان,بینات,35000,حلقه حافظان کل
123,148,3,آیات جزء شانزده الی بیست,250000,3,yes,16,4,8,NULL,1,حفظ قرآن و حدیث,جوان,آیات,25000,آیات جزء شانزده الی بیست
121,146,3,آیات جزء شش الی ده,250000,3,yes,16,4,8,NULL,1,حفظ قرآن و حدیث,جوان,آیات,25000,آیات جزء شش الی ده
122,147,3,آیات جزء یازده الی پانزده,250000,3,yes,16,4,8,NULL,1,حفظ قرآن و حدیث,جوان,آیات,25000,آیات جزء یازده الی پانزده
120,145,3,آیات جزء یک الی پنج,250000,3,yes,16,4,8,NULL,1,حفظ قرآن و حدیث,جوان,آیات,25000,آیات جزء یک الی پنج
113,138,3,بینات جزء بیست و شش الی سی,250000,3,yes,16,4,8,NULL,1,حفظ قرآن و حدیث,جوان,بینات,25000,بینات جزء بیست و شش الی سی
112,137,3,بینات جزء بیست و یک الی بیست و پنج,250000,3,yes,16,4,8,NULL,1,حفظ قرآن و حدیث,جوان,بینات,25000,بینات جزء بیست و یک الی بیست و پنج
111,136,3,بینات جزء شانزده الی بیست,250000,3,yes,16,4,8,NULL,1,حفظ قرآن و حدیث,جوان,بینات,25000,بینات جزء شانزده الی بیست
109,134,3,بینات جزء شش الی ده,350000,3,yes,16,4,8,NULL,1,حفظ قرآن و حدیث,جوان,بینات,35000,بینات جزء شش الی ده
110,135,3,بینات جزء یازده الی پانزده,250000,3,yes,16,4,8,NULL,1,حفظ قرآن و حدیث,جوان,بینات,25000,بینات جزء یازده الی پانزده
108,133,3,بینات جزء یک الی پنج,250000,3,yes,16,4,8,NULL,1,حفظ قرآن و حدیث,جوان,بینات,25000,بینات جزء یک الی پنج
345,373,3,بینات حفاظ کل,350000,2,no,15,7,10,35,1,حفظ قرآن و حدیث,جوان,بینات,35000,بینات حفاظ کل
20,44,29,بینات حلقه حافظان کل,350000,4,yes,16,8,20,NULL,2,حفظ قرآن و حدیث,جوان,بینات,35000,حلقه حافظان کل
215,243,18,امام مهدی شناسی عج,100000,7,yes,14,20,50,NULL,10,معارف قرآن و حدیث,جوان,تاریخ و سیره اهل بیت علیهم السلام,10000,امام مهدی شناسی عج
276,304,1,امام مهدی شناسی عج,250000,7,yes,14,10,50,30,1,معارف قرآن و حدیث,جوان,تاریخ و سیره اهل بیت علیهم السلام,25000,امام مهدی شناسی عج
67,92,7,اهل بیت علیهم السلام شناسی,250000,10,yes,16,25,40,NULL,2,معارف قرآن و حدیث,جوان,تاریخ و سیره اهل بیت علیهم السلام,25000,اهل بیت علیهم السلام شناسی
404,432,15,آشنایی با نهج البلاغه,200000,3,yes,14,1,200,12,9,معارف قرآن و حدیث,جوان,تاریخ و سیره اهل بیت علیهم السلام,20000,آشنایی با نهج البلاغه
316,344,10,آموزش پیش از ازدواج,200000,4,yes,14,0,50,14,9,معارف قرآن و حدیث,جوان,تاریخ و سیره اهل بیت علیهم السلام,20000,آموزش پیش از ازدواج
179,207,10,آیین همسرداری,200000,4,yes,14,15,120,NULL,9,معارف قرآن و حدیث,جوان,تاریخ و سیره اهل بیت علیهم السلام,20000,آیین همسرداری
29,54,27,آیین همسرداری,200000,2,yes,14,25,70,NULL,2,معارف قرآن و حدیث,جوان,تاریخ و سیره اهل بیت علیهم السلام,20000,آئین همسرداری
192,220,26,بانوان بهشتی,200000,4,yes,15,15,50,NULL,9,معارف قرآن و حدیث,جوان,تاریخ و سیره اهل بیت علیهم السلام,20000,بانوان بهشتی
290,318,10,بهداشت روانی بانوان ازمنظردین,200000,4,yes,16,15,50,NULL,9,معارف قرآن و حدیث,جوان,تاریخ و سیره اهل بیت علیهم السلام,20000,بهداشت روانی بانوان ازمنظردین
56,81,1,پیامبر اعظم شناسی,100000,2,yes,14,15,100,NULL,1,معارف قرآن و حدیث,جوان,تاریخ و سیره اهل بیت علیهم السلام,10000,پیامبر اعظم شناسی
191,219,14,تغذیه کودک ونوجوان در اسلام,200000,4,yes,15,15,75,NULL,9,معارف قرآن و حدیث,جوان,تاریخ و سیره اهل بیت علیهم السلام,20000,تغذیه کودک ونوجوان در اسلام
33,58,27,رساله حقوق امام سجاد,150000,2,yes,14,25,70,NULL,2,معارف قرآن و حدیث,جوان,تاریخ و سیره اهل بیت علیهم السلام,15000,رساله حقوق امام سجاد علیه السلام
30,55,27,روش تربیت دینی,150000,2,yes,14,25,70,NULL,2,معارف قرآن و حدیث,جوان,تاریخ و سیره اهل بیت علیهم السلام,15000,روش تربیت دینی
32,57,27,سبک زندگی اسلامی,150000,2,yes,14,25,70,NULL,2,معارف قرآن و حدیث,جوان,تاریخ و سیره اهل بیت علیهم السلام,15000,سبک زندگی اسلامی
393,421,10,سبک زندگی اسلامی,500000,5,yes,14,1,50,16,9,معارف قرآن و حدیث,جوان,تاریخ و سیره اهل بیت علیهم السلام,50000,سبک زندگی اسلامی
275,303,26,سبک زندگی اهل بیت,200000,3,yes,14,15,60,NULL,9,معارف قرآن و حدیث,جوان,تاریخ و سیره اهل بیت علیهم السلام,20000,سبک زندگی اهل بیت
214,242,18,سبک زندگی محمدی صلوات الله علیه,100000,3,yes,14,20,50,NULL,10,معارف قرآن و حدیث,جوان,تاریخ و سیره اهل بیت علیهم السلام,10000,سبک زندگی محمدی صلوات الله علیه
362,390,14,طب اسلامی تکمیلی,500000,12,yes,14,0,150,60,9,معارف قرآن و حدیث,جوان,تاریخ و سیره اهل بیت علیهم السلام,50000,طب اسلامی تکمیلی
182,210,14,طب اسلامی مقدماتی,200000,4,yes,14,15,150,12,9,معارف قرآن و حدیث,جوان,تاریخ و سیره اهل بیت علیهم السلام,20000,طب اسلامی مقدماتی
364,392,14,طب اسلامی مقدماتی دو,200000,3,yes,14,0,150,15,9,معارف قرآن و حدیث,جوان,تاریخ و سیره اهل بیت علیهم السلام,20000,طب اسلامی مقدماتی دو
394,422,14,طب تکمیلی دو و سه,700000,3,yes,14,1,100,12,9,معارف قرآن و حدیث,جوان,تاریخ و سیره اهل بیت علیهم السلام,70000,طب تکمیلی دو و سه
346,374,6,عمومی مهدویت، جلد یک و دو کتاب نگین آفرینش,0,0,yes,14,10,999,25,3,معارف قرآن و حدیث,جوان,تاریخ و سیره اهل بیت علیهم السلام,0,عمومی مهدویت، جلد یک و دو کتاب نگین آفرینش
288,316,11,قصه های مهدوی,200000,4,yes,14,10,25,NULL,9,معارف قرآن و حدیث,نوجوان,تاریخ و سیره اهل بیت علیهم السلام,20000,قصه های مهدوی
28,53,27,مهارت های زندگی,150000,2,yes,14,25,70,NULL,2,معارف قرآن و حدیث,جوان,تاریخ و سیره اهل بیت علیهم السلام,15000,مهارت های زندگی
291,319,10,مهارتهای زندگی,200000,4,yes,14,10,50,NULL,9,معارف قرآن و حدیث,جوان,تاریخ و سیره اهل بیت علیهم السلام,20000,مهارتهای زندگی
31,56,27,مهدویت,150000,2,yes,14,25,70,NULL,2,معارف قرآن و حدیث,جوان,تاریخ و سیره اهل بیت علیهم السلام,15000,مهدویت
289,317,11,مهدویت,200000,4,yes,14,10,50,NULL,9,معارف قرآن و حدیث,جوان,تاریخ و سیره اهل بیت علیهم السلام,20000,مهدویت
315,343,11,مهدویت تکمیلی,200000,3,yes,14,0,100,14,9,معارف قرآن و حدیث,جوان,تاریخ و سیره اهل بیت علیهم السلام,20000,مهدویت تکمیلی
177,205,11,مهدویت دبیرستانیها,200000,4,yes,14,10,50,NULL,9,معارف قرآن و حدیث,نوجوان,تاریخ و سیره اهل بیت علیهم السلام,20000,مهدویت دبیرستانیها
268,296,11,مهدویت دو,200000,4,yes,14,10,60,NULL,9,معارف قرآن و حدیث,جوان,تاریخ و سیره اهل بیت علیهم السلام,20000,مهدویت دو
176,204,11,مهدویت راهنماییها,200000,4,yes,14,15,75,NULL,9,معارف قرآن و حدیث,نوجوان,تاریخ و سیره اهل بیت علیهم السلام,20000,مهدویت راهنماییها
272,300,11,مهدویت کودکان,200000,4,yes,14,10,30,14,9,معارف قرآن و حدیث,کودک,تاریخ و سیره اهل بیت علیهم السلام,20000,مهدویت کودکان
395,423,11,مهدویت مقدماتی,400000,5,yes,14,1,100,24,9,معارف قرآن و حدیث,جوان,تاریخ و سیره اهل بیت علیهم السلام,40000,مهدویت مقدماتی
175,203,11,مهدویت یک,200000,5,yes,14,15,100,12,9,معارف قرآن و حدیث,جوان,تاریخ و سیره اهل بیت علیهم السلام,20000,مهدویت یک
287,315,14,نقش تغذیه در اخلاق,200000,3,yes,14,10,50,12,9,معارف قرآن و حدیث,جوان,تاریخ و سیره اهل بیت علیهم السلام,20000,نقش تغذیه در اخلاق
17,41,29,تبیان,350000,2,yes,16,10,12,NULL,2,حفظ قرآن و حدیث,جوان,تبیان,35000,تبیان
134.1952380952,159.4071428571,6.4666666667,تبیان جزء بیست و شش الی سی,350000,3.1571428571,yes,16,3.3095238095,10.3666666667,NULL,1.1333333333,حفظ قرآن و حدیث,نوجوان,تبیان,35000,تبیان جزء بیست و شش الی سی
132.8166666667,158.025,6.4666666667,تبیان جزء بیست و یک الی بیست و پنج,350000,3.15,yes,16,3.4166666667,10.4166666667,NULL,1.1333333333,حفظ قرآن و حدیث,نوجوان,تبیان,35000,تبیان جزء بیست و یک الی بیست و پنج
131.4380952381,156.6428571429,6.4666666667,تبیان جزء شانزده الی بیست,350000,3.1428571429,yes,16,3.5238095238,10.4666666667,NULL,1.1333333333,حفظ قرآن و حدیث,نوجوان,تبیان,35000,تبیان جزء شانزده الی بیست
130.0595238095,155.2607142857,6.4666666667,تبیان جزء شش الی ده,350000,3.1357142857,yes,16,3.630952381,10.5166666667,NULL,1.1333333333,حفظ قرآن و حدیث,نوجوان,تبیان,35000,تبیان جزء شش الی ده
128.680952381,153.8785714286,6.4666666667,تبیان جزء یازده الی پانزده,350000,3.1285714286,yes,16,3.7380952381,10.5666666667,NULL,1.1333333333,حفظ قرآن و حدیث,نوجوان,تبیان,35000,تبیان جزء یازده الی پانزده
127.3023809524,152.4964285714,6.4666666667,تبیان جزء یک الی پنج,350000,3.1214285714,yes,16,3.8452380952,10.6166666667,NULL,1.1333333333,حفظ قرآن و حدیث,نوجوان,تبیان,35000,تبیان جزء یک الی پنج
125.9238095238,151.1142857143,6.4666666667,تثبیت,350000,3.1142857143,yes,16,3.9523809524,10.6666666667,NULL,1.1333333333,حفظ قرآن و حدیث,نوجوان,تثبیت محفوظات قرآن کریم,35000,تثبیت
124.5452380952,149.7321428571,6.4666666667,تثبیت,350000,3.1071428571,yes,16,4.0595238095,10.7166666667,NULL,1.1333333333,حفظ قرآن و حدیث,نوجوان,تثبیت محفوظات قرآن کریم,35000,تثبیت
123.1666666667,148.35,6.4666666667,کوثر تثبیت,350000,3.1,yes,16,4.1666666667,10.7666666667,NULL,1.1333333333,حفظ قرآن و حدیث,نوجوان,تثبیت محفوظات قرآن کریم,35000,تثبیت محفوظات
